Period,From,To,Area_km2
2004-2005,15,8,91.6992
2004-2005,15,9,1426.0041
2004-2005,15,11,1.2987
2004-2005,15,12,55.7784
2004-2005,15,13,23.0103
2004-2005,15,15,3534806.6658
2004-2005,15,16,27.5778
2004-2005,15,20,43.1469
2004-2005,16,5,61.9398
2004-2005,16,7,1.6227
2004-2005,16,8,2.475
2004-2005,16,9,0.0315
2004-2005,16,11,0.4509
2004-2005,16,12,113.6682
2004-2005,16,13,4.9464
2004-2005,16,15,75.7224
2004-2005,16,16,3206.0088
2004-2005,16,20,15.2298
2004-2005,20,5,3049.3836
2004-2005,20,7,798.1974
2004-2005,20,8,6589.8576
2004-2005,20,9,431.0955
2004-2005,20,11,8.6427
2004-2005,20,12,50.6439
2004-2005,20,13,579.5811
2004-2005,20,15,58.815
2004-2005,20,16,10.0809
2004-2005,20,20,1111470.4359
2005-2006,5,5,456912.3015
2005-2006,5,7,1205.3763
2005-2006,5,8,6057.225
2005-2006,5,9,370.5174
2005-2006,5,11,32.184
2005-2006,5,12,516.5928
2005-2006,5,13,754.7202
2005-2006,5,15,33.0399
2005-2006,5,16,72.1998
2005-2006,5,20,3169.7649
2005-2006,7,5,1144.5579
2005-2006,7,7,483820.3404
2005-2006,7,8,6818.5062
2005-2006,7,9,141.7482
2005-2006,7,11,23.4405
2005-2006,7,12,983.8683
2005-2006,7,13,692.7435
2005-2006,7,15,4.3686
2005-2006,7,16,1.4373
2005-2006,7,20,798.7428
2005-2006,8,5,6079.6161
2005-2006,8,7,8827.1469
2005-2006,8,8,1723279.9392
2005-2006,8,9,817.974
2005-2006,8,11,37.5408
2005-2006,8,12,789.264
2005-2006,8,13,5799.0996
2005-2006,8,15,38.0331
2005-2006,8,16,2.2446
2005-2006,8,20,5501.6496
2005-2006,9,5,391.6467
2005-2006,9,7,177.543
2005-2006,9,8,854.217
2005-2006,9,9,39545.8596
2005-2006,9,11,0.9144
2005-2006,9,12,1330.9164
2005-2006,9,13,86.7384
2005-2006,9,15,1016.2836
2005-2006,9,16,0.0432
2005-2006,9,20,375.0984
2005-2006,11,5,26.2008
2005-2006,11,7,24.2802
2005-2006,11,8,46.3608
2005-2006,11,9,1.2852
2005-2006,11,11,873.261
2005-2006,11,12,7.5924
2005-2006,11,13,7.4916
2005-2006,11,15,0.8451
2005-2006,11,16,0.5004
2005-2006,11,20,8.928
2005-2006,12,5,262.7226
2005-2006,12,7,822.3849
2005-2006,12,8,874.5435
2005-2006,12,9,904.6854
2005-2006,12,11,3.4011
2005-2006,12,12,1086182.5104
2005-2006,12,13,281.4273
2005-2006,12,15,61.2252
2005-2006,12,16,144.0459
2005-2006,12,20,60.8346
2005-2006,13,5,718.7004
2005-2006,13,7,646.3683
2005-2006,13,8,4767.8283
2005-2006,13,9,69.9741
2005-2006,13,11,5.9571
2005-2006,13,12,285.3657
2005-2006,13,13,102105.1926
2005-2006,13,15,21.1788
2005-2006,13,16,5.6637
2005-2006,13,20,510.0138
2005-2006,15,5,36.9261
2005-2006,15,7,5.4324
2005-2006,15,8,84.8376
2005-2006,15,9,2212.9155
2005-2006,15,11,1.8999
2005-2006,15,12,66.3957
2005-2006,15,13,31.3398
2005-2006,15,15,3533961.5019
2005-2006,15,16,96.5088
2005-2006,15,20,63.1575
2005-2006,16,5,34.8201
2005-2006,16,7,1.5813
2005-2006,16,8,2.2788
2005-2006,16,9,0.0297
2005-2006,16,11,0.2601
2005-2006,16,12,31.1526
2005-2006,16,13,1.9953
2005-2006,16,15,25.7418
2005-2006,16,16,3231.3177
2005-2006,16,20,7.794
2005-2006,20,5,3278.6676
