From,To,Count,Area_km2,Period
8,20,51999,46.7991,2000-2001
9,7,7,0.0063,2000-2001
9,8,78,0.0702,2000-2001
9,9,161065,144.9585,2000-2001
9,12,1,0.0009,2000-2001
9,13,80,0.072,2000-2001
9,15,1,0.0009,2000-2001
9,20,127,0.1143,2000-2001
11,11,2078,1.8702,2000-2001
12,5,4163,3.7467,2000-2001
12,7,16609,14.9481,2000-2001
12,8,2067,1.8603,2000-2001
12,9,1,0.0009,2000-2001
12,12,14867446,13380.7014,2000-2001
12,13,6501,5.8509,2000-2001
12,15,15,0.0135,2000-2001
12,20,87,0.0783,2000-2001
13,13,553992,498.5928,2000-2001
15,5,151,0.1359,2000-2001
15,7,94,0.0846,2000-2001
15,8,277,0.2493,2000-2001
15,9,421,0.3789,2000-2001
15,12,257,0.2313,2000-2001
15,13,182,0.1638,2000-2001
15,15,39431640,35488.476,2000-2001
15,20,231,0.2079,2000-2001
16,16,22194,19.9746,2000-2001
20,5,2724,2.4516,2000-2001
20,7,7647,6.8823,2000-2001
20,8,30590,27.531,2000-2001
20,9,144,0.1296,2000-2001
20,12,695,0.6255,2000-2001
20,13,1682,1.5138,2000-2001
20,15,20,0.018,2000-2001
20,20,10884577,9796.1193,2000-2001
5,5,2504369,2253.9321,2001-2002
5,7,109,0.0981,2001-2002
5,8,7215,6.4935,2001-2002
5,12,9957,8.9613,2001-2002
5,13,759,0.6831,2001-2002
5,20,1787,1.6083,2001-2002
7,5,496,0.4464,2001-2002
7,7,4694282,4224.8538,2001-2002
7,8,2681,2.4129,2001-2002
7,12,685,0.6165,2001-2002
7,13,1577,1.4193,2001-2002
7,20,1182,1.0638,2001-2002
8,5,1619,1.4571,2001-2002
8,7,1133,1.0197,2001-2002
8,8,22429281,20186.3529,2001-2002
8,12,623,0.5607,2001-2002
8,13,35543,31.9887,2001-2002
8,15,15,0.0135,2001-2002
8,20,23312,20.9808,2001-2002
9,8,25,0.0225,2001-2002
9,9,161462,145.3158,2001-2002
9,13,105,0.0945,2001-2002
9,20,40,0.036,2001-2002
11,11,2078,1.8702,2001-2002
12,5,7028,6.3252,2001-2002
12,7,11596,10.4364,2001-2002
12,8,2253,2.0277,2001-2002
12,9,1,0.0009,2001-2002
12,12,14878560,13390.704,2001-2002
12,13,6244,5.6196,2001-2002
12,20,29,0.0261,2001-2002
13,13,588029,529.2261,2001-2002
15,5,11,0.0099,2001-2002
15,7,17,0.0153,2001-2002
15,8,207,0.1863,2001-2002
15,9,248,0.2232,2001-2002
15,12,414,0.3726,2001-2002
15,13,156,0.1404,2001-2002
15,15,39430427,35487.3843,2001-2002
15,20,222,0.1998,2001-2002
16,16,22194,19.9746,2001-2002
20,5,922,0.8298,2001-2002
20,7,6139,5.5251,2001-2002
20,8,22775,20.4975,2001-2002
20,9,52,0.0468,2001-2002
20,12,447,0.4023,2001-2002
20,13,2021,1.8189,2001-2002
20,15,2,0.0018,2001-2002
20,20,10907936,9817.1424,2001-2002
5,5,2494069,2244.6621,2002-2003
5,7,13,0.0117,2002-2003
5,8,13627,12.2643,2002-2003
5,12,4820,4.338,2002-2003
5,13,536,0.4824,2002-2003
5,20,1380,1.242,2002-2003
7,5,1070,0.963,2002-2003
7,7,4702936,4232.6424,2002-2003
7,8,5928,5.3352,2002-2003
7,12,269,0.2421,2002-2003
7,13,2023,1.8207,2002-2003
7,15,1,0.0009,2002-2003
7,20,1049,0.9441,2002-2003
8,5,1404,1.2636,2002-2003
8,7,1459,1.3131,2002-2003
8,8,22378821,20140.9389,2002-2003
8,9,1,0.0009,2002-2003
8,12,514,0.4626,2002-2003
8,13,43460,39.114,2002-2003
8,15,6,0.0054,2002-2003
8,20,38772,34.8948,2002-2003
9,7,1,0.0009,2002-2003
9,8,3,0.0027,2002-2003
9,9,161577,145.4193,2002-2003
9,13,138,0.1242,2002-2003
9,15,3,0.0027,2002-2003
9,20,41,0.0369,2002-2003
11,11,2078,1.8702,2002-2003
12,5,2274,2.0466,2002-2003
12,7,4042,3.6378,2002-2003
12,8,2958,2.6622,2002-2003
12,12,14877022,13389.3198,2002-2003
12,13,4297,3.8673,2002-2003
12,20,93,0.0837,2002-2003
13,13,634434,570.9906,2002-2003
15,5,20,0.018,2002-2003
15,7,91,0.0819,2002-2003
15,8,623,0.5607,2002-2003
15,9,254,0.2286,2002-2003
15,12,65,0.0585,2002-2003
15,13,133,0.1197,2002-2003
15,15,39428772,35485.8948,2002-2003
15,20,486,0.4374,2002-2003
16,16,22194,19.9746,2002-2003
20,5,2095,1.8855,2002-2003
20,7,6413,5.7717,2002-2003
20,8,10206,9.1854,2002-2003
20,9,40,0.036,2002-2003
20,12,174,0.1566,2002-2003
20,13,2225,2.0025,2002-2003
20,20,10913355,9822.0195,2002-2003
5,5,2444991,2200.4919,2003-2004
5,7,206,0.1854,2003-2004
5,8,50865,45.7785,2003-2004
5,12,1992,1.7928,2003-2004
5,13,416,0.3744,2003-2004
5,20,2462,2.2158,2003-2004
7,5,223,0.2007,2003-2004
7,7,4696790,4227.111,2003-2004
7,8,12877,11.5893,2003-2004
7,12,51,0.0459,2003-2004
