Period,From,From_Label,To,To_Label,Area_km2
2001-2002,12,Bareland,7,Grassland,914.4279
2001-2002,12,Bareland,8,Cropland,1412.5329
2001-2002,12,Bareland,9,Wetland,1879.596
2001-2002,12,Bareland,11,Lichens and Mosses,4.6845
2001-2002,12,Bareland,12,Bareland,1086997.9905
2001-2002,12,Bareland,13,Built-up,341.0874
2001-2002,12,Bareland,15,Water,64.2924
2001-2002,12,Bareland,16,Permanent ice and snow,5.5566
2001-2002,12,Bareland,20,Forest,71.0145
2001-2002,13,Built-up,5,Shrubland,766.3896
2001-2002,13,Built-up,7,Grassland,644.0562
2001-2002,13,Built-up,8,Cropland,4958.8488
2001-2002,13,Built-up,9,Wetland,66.7881
2001-2002,13,Built-up,11,Lichens and Mosses,6.9399
2001-2002,13,Built-up,12,Bareland,234.3033
2001-2002,13,Built-up,13,Built-up,96822.2529
2001-2002,13,Built-up,15,Water,17.6238
2001-2002,13,Built-up,16,Permanent ice and snow,0.7479
2001-2002,13,Built-up,20,Forest,549.7659
2001-2002,15,Water,5,Shrubland,36.0333
2001-2002,15,Water,7,Grassland,3.8781
2001-2002,15,Water,8,Cropland,53.4915
2001-2002,15,Water,9,Wetland,1150.3269
2001-2002,15,Water,11,Lichens and Mosses,2.3571
2001-2002,15,Water,12,Bareland,50.049
2001-2002,15,Water,13,Built-up,28.7055
2001-2002,15,Water,15,Water,3533426.6373
2001-2002,15,Water,16,Permanent ice and snow,1.7298
2001-2002,15,Water,20,Forest,45.432
2001-2002,16,Permanent ice and snow,5,Shrubland,87.2487
2001-2002,16,Permanent ice and snow,7,Grassland,2.9322
2001-2002,16,Permanent ice and snow,8,Cropland,3.7089
2001-2002,16,Permanent ice and snow,9,Wetland,0.0927
2001-2002,16,Permanent ice and snow,11,Lichens and Mosses,0.5283
2001-2002,16,Permanent ice and snow,12,Bareland,99.3159
2001-2002,16,Permanent ice and snow,13,Built-up,8.7921
2001-2002,16,Permanent ice and snow,15,Water,129.9978
2001-2002,16,Permanent ice and snow,16,Permanent ice and snow,4059.3393
2001-2002,16,Permanent ice and snow,20,Forest,37.0503
2001-2002,20,Forest,5,Shrubland,3034.8702
2001-2002,20,Forest,7,Grassland,989.5293
2001-2002,20,Forest,8,Cropland,6916.3875
2001-2002,20,Forest,9,Wetland,423.4689
2001-2002,20,Forest,11,Lichens and Mosses,9.1008
2001-2002,20,Forest,12,Bareland,63.2016
2001-2002,20,Forest,13,Built-up,568.4346
2001-2002,20,Forest,15,Water,48.3345
2001-2002,20,Forest,16,Permanent ice and snow,1.8954
2001-2002,20,Forest,20,Forest,1116259.2108
2002-2003,5,Shrubland,5,Shrubland,457025.706
2002-2003,5,Shrubland,7,Grassland,1097.586
2002-2003,5,Shrubland,8,Cropland,7489.3725
2002-2003,5,Shrubland,9,Wetland,410.6286
2002-2003,5,Shrubland,11,Lichens and Mosses,33.7752
2002-2003,5,Shrubland,12,Bareland,323.9856
2002-2003,5,Shrubland,13,Built-up,830.9745
2002-2003,5,Shrubland,15,Water,37.0827
2002-2003,5,Shrubland,16,Permanent ice and snow,18.1908
2002-2003,5,Shrubland,20,Forest,2865.3156
2002-2003,7,Grassland,5,Shrubland,1135.3212
2002-2003,7,Grassland,7,Grassland,483280.5753
2002-2003,7,Grassland,8,Cropland,9564.8346
2002-2003,7,Grassland,9,Wetland,158.6772
2002-2003,7,Grassland,11,Lichens and Mosses,24.6537
2002-2003,7,Grassland,12,Bareland,424.467
2002-2003,7,Grassland,13,Built-up,773.9253
2002-2003,7,Grassland,15,Water,4.6368
2002-2003,7,Grassland,16,Permanent ice and snow,1.305
2002-2003,7,Grassland,20,Forest,1063.5444
2002-2003,8,Cropland,5,Shrubland,5564.2626
2002-2003,8,Cropland,7,Grassland,6222.9807
2002-2003,8,Cropland,8,Cropland,1719635.0544
2002-2003,8,Cropland,9,Wetland,1040.5422
2002-2003,8,Cropland,11,Lichens and Mosses,54.5859
2002-2003,8,Cropland,12,Bareland,859.581
2002-2003,8,Cropland,13,Built-up,6266.8143
2002-2003,8,Cropland,15,Water,62.1486
2002-2003,8,Cropland,16,Permanent ice and snow,1.4832
2002-2003,8,Cropland,20,Forest,6281.9919
2002-2003,9,Wetland,5,Shrubland,370.2015
2002-2003,9,Wetland,7,Grassland,203.5836
2002-2003,9,Wetland,8,Cropland,808.1379
2002-2003,9,Wetland,9,Wetland,39640.6917
2002-2003,9,Wetland,11,Lichens and Mosses,2.1564
2002-2003,9,Wetland,12,Bareland,1079.838
2002-2003,9,Wetland,13,Built-up,80.2899
2002-2003,9,Wetland,15,Water,1599.4296
2002-2003,9,Wetland,16,Permanent ice and snow,0.0126
2002-2003,9,Wetland,20,Forest,440.0964
2002-2003,11,Lichens and Mosses,5,Shrubland,29.5497
2002-2003,11,Lichens and Mosses,7,Grassland,16.8174
2002-2003,11,Lichens and Mosses,8,Cropland,44.1576
2002-2003,11,Lichens and Mosses,9,Wetland,1.35
2002-2003,11,Lichens and Mosses,11,Lichens and Mosses,864.234
2002-2003,11,Lichens and Mosses,12,Bareland,6.525
2002-2003,11,Lichens and Mosses,13,Built-up,6.7455
2002-2003,11,Lichens and Mosses,15,Water,1.0728
2002-2003,11,Lichens and Mosses,16,Permanent ice and snow,0.135
2002-2003,11,Lichens and Mosses,20,Forest,7.137
2002-2003,12,Bareland,5,Shrubland,260.0946
2002-2003,12,Bareland,7,Grassland,900.0927
2002-2003,12,Bareland,8,Cropland,1203.9957
2002-2003,12,Bareland,9,Wetland,1075.1616
2002-2003,12,Bareland,11,Lichens and Mosses,6.1092
2002-2003,12,Bareland,12,Bareland,1086052.248
2002-2003,12,Bareland,13,Built-up,346.4055
2002-2003,12,Bareland,15,Water,48.2751
2002-2003,12,Bareland,16,Permanent ice and snow,25.4565
2002-2003,12,Bareland,20,Forest,63.7146
2002-2003,13,Built-up,5,Shrubland,776.3679
2002-2003,13,Built-up,7,Grassland,612.6723
2002-2003,13,Built-up,8,Cropland,5134.4658
2002-2003,13,Built-up,9,Wetland,77.1183
2002-2003,13,Built-up,11,Lichens and Mosses,8.2152
2002-2003,13,Built-up,12,Bareland,224.9694
2002-2003,13,Built-up,13,Built-up,97768.1142
2002-2003,13,Built-up,15,Water,24.7257
2002-2003,13,Built-up,16,Permanent ice and snow,1.917
2002-2003,13,Built-up,20,Forest,581.2218
