From,To,Count,Area_km2,From_Label,To_Label,Period
9,15,500950,450.855,Wetland,Water,1995-2000
9,16,12,0.0108,Wetland,Permanent ice and snow,1995-2000
9,20,468049,421.2441,Wetland,Forest,1995-2000
11,11,1,0.0009,Lichens and Mosses,Lichens and Mosses,1995-2000
12,5,1653862,1488.4758,Bareland,Shrubland,1995-2000
12,7,2828500,2545.65,Bareland,Grassland,1995-2000
12,8,3733932,3360.5388,Bareland,Cropland,1995-2000
12,9,12507864,11257.0776,Bareland,Wetland,1995-2000
12,11,50169,45.1521,Bareland,Lichens and Mosses,1995-2000
12,12,1206327122,1085694.4098,Bareland,Bareland,1995-2000
12,13,2300453,2070.4077,Bareland,Built-up,1995-2000
12,15,142897,128.6073,Bareland,Water,1995-2000
12,16,56583,50.9247,Bareland,Permanent ice and snow,1995-2000
12,20,292587,263.3283,Bareland,Forest,1995-2000
13,5,989502,890.5518,Built-up,Shrubland,1995-2000
13,7,1035843,932.2587,Built-up,Grassland,1995-2000
13,8,8113620,7302.258,Built-up,Cropland,1995-2000
13,9,234425,210.9825,Built-up,Wetland,1995-2000
13,11,13516,12.1644,Built-up,Lichens and Mosses,1995-2000
13,12,177038,159.3342,Built-up,Bareland,1995-2000
13,13,64577863,58120.0767,Built-up,Built-up,1995-2000
13,15,63862,57.4758,Built-up,Water,1995-2000
13,16,398,0.3582,Built-up,Permanent ice and snow,1995-2000
13,20,1021840,919.656,Built-up,Forest,1995-2000
15,5,163798,147.4182,Water,Shrubland,1995-2000
15,7,26716,24.0444,Water,Grassland,1995-2000
15,8,242975,218.6775,Water,Cropland,1995-2000
15,9,4060751,3654.6759,Water,Wetland,1995-2000
15,11,3286,2.9574,Water,Lichens and Mosses,1995-2000
15,12,1109435,998.4915,Water,Bareland,1995-2000
15,13,141223,127.1007,Water,Built-up,1995-2000
15,15,3926171633,3533554.4697,Water,Water,1995-2000
15,16,62764,56.4876,Water,Permanent ice and snow,1995-2000
15,20,250087,225.0783,Water,Forest,1995-2000
16,5,46941,42.2469,Permanent ice and snow,Shrubland,1995-2000
16,7,1383,1.2447,Permanent ice and snow,Grassland,1995-2000
16,8,2964,2.6676,Permanent ice and snow,Cropland,1995-2000
16,9,46,0.0414,Permanent ice and snow,Wetland,1995-2000
16,11,307,0.2763,Permanent ice and snow,Lichens and Mosses,1995-2000
16,12,49205,44.2845,Permanent ice and snow,Bareland,1995-2000
16,13,7056,6.3504,Permanent ice and snow,Built-up,1995-2000
16,15,42741,38.4669,Permanent ice and snow,Water,1995-2000
16,16,4547500,4092.75,Permanent ice and snow,Permanent ice and snow,1995-2000
16,20,18910,17.019,Permanent ice and snow,Forest,1995-2000
20,5,18912785,17021.5065,Forest,Shrubland,1995-2000
20,7,4963222,4466.8998,Forest,Grassland,1995-2000
20,8,47791106,43011.9954,Forest,Cropland,1995-2000
20,9,613340,552.006,Forest,Wetland,1995-2000
20,11,28393,25.5537,Forest,Lichens and Mosses,1995-2000
20,12,263434,237.0906,Forest,Bareland,1995-2000
20,13,2610006,2349.0054,Forest,Built-up,1995-2000
20,15,278497,250.6473,Forest,Water,1995-2000
20,16,32559,29.3031,Forest,Permanent ice and snow,1995-2000
20,20,1195263546,1075737.1914,Forest,Forest,1995-2000
5,5,510318048,459286.2432,Shrubland,Shrubland,2000-2001
5,7,1080287,972.2583,Shrubland,Grassland,2000-2001
5,8,7745606,6971.0454,Shrubland,Cropland,2000-2001
5,9,467928,421.1352,Shrubland,Wetland,2000-2001
5,11,62918,56.6262,Shrubland,Lichens and Mosses,2000-2001
5,12,289483,260.5347,Shrubland,Bareland,2000-2001
5,13,920198,828.1782,Shrubland,Built-up,2000-2001
5,15,45538,40.9842,Shrubland,Water,2000-2001
5,16,48357,43.5213,Shrubland,Permanent ice and snow,2000-2001
5,20,2793105,2513.7945,Shrubland,Forest,2000-2001
7,5,1910566,1719.5094,Grassland,Shrubland,2000-2001
7,7,546331161,491698.0449,Grassland,Grassland,2000-2001
7,8,9747419,8772.6771,Grassland,Cropland,2000-2001
7,9,198179,178.3611,Grassland,Wetland,2000-2001
7,11,34240,30.816,Grassland,Lichens and Mosses,2000-2001
7,12,761146,685.0314,Grassland,Bareland,2000-2001
7,13,868059,781.2531,Grassland,Built-up,2000-2001
7,15,3369,3.0321,Grassland,Water,2000-2001
7,16,1819,1.6371,Grassland,Permanent ice and snow,2000-2001
7,20,1275639,1148.0751,Grassland,Forest,2000-2001
8,5,6252490,5627.241,Cropland,Shrubland,2000-2001
8,7,7000260,6300.234,Cropland,Grassland,2000-2001
8,8,1897961604,1708165.4436,Cropland,Cropland,2000-2001
8,9,955605,860.0445,Cropland,Wetland,2000-2001
8,11,62387,56.1483,Cropland,Lichens and Mosses,2000-2001
8,12,498478,448.6302,Cropland,Bareland,2000-2001
8,13,7091033,6381.9297,Cropland,Built-up,2000-2001
8,15,44920,40.428,Cropland,Water,2000-2001
8,16,1969,1.7721,Cropland,Permanent ice and snow,2000-2001
8,20,6049294,5444.3646,Cropland,Forest,2000-2001
9,5,425296,382.7664,Wetland,Shrubland,2000-2001
9,7,198198,178.3782,Wetland,Grassland,2000-2001
9,8,947961,853.1649,Wetland,Cropland,2000-2001
9,9,44084488,39676.0392,Wetland,Wetland,2000-2001
9,11,949,0.8541,Wetland,Lichens and Mosses,2000-2001
9,12,1791751,1612.5759,Wetland,Bareland,2000-2001
9,13,83493,75.1437,Wetland,Built-up,2000-2001
