year,code,count,class,area_km2,pct
2006,7,4734098,Grassland,426068.82,4.943284709188372
2006,8,22372976,Cropland,2013567.8399999999,23.3615759876197
2006,9,162463,Wetland,14621.67,0.16964179104633462
2006,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2006,12,14815224,Bareland,1333370.16,15.469867810594668
2006,13,783592,Built-up,70523.28,0.8182167652301104
2006,15,39425989,Water,3548339.01,41.16811451058448
2006,16,22194,Ice/Snow,1997.46,0.023174691532732685
2006,20,11003341,Forest,990300.69,11.489548233958295
2007,5,2444836,Shrubland,220035.24,2.552866547180321
2007,7,4744931,Grassland,427043.79,4.954596389524233
2007,8,22339102,Cropland,2010519.18,23.326205189161566
2007,9,162715,Wetland,14644.35,0.16990492622999906
2007,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2007,12,14785397,Bareland,1330685.73,15.43872283788372
2007,13,802082,Built-up,72187.37999999999,0.8375237872378705
2007,15,39424175,Water,3548175.75,41.166220354936996
2007,16,22194,Ice/Snow,1997.46,0.023174691532732685
2007,20,11040755,Forest,993667.95,11.528615455234572
2008,5,2423392,Shrubland,218105.28,2.5304749960751614
2008,7,4747325,Grassland,427259.25,4.957096173769045
2008,8,22264849,Cropland,2003836.41,23.248671154270152
2008,9,163128,Wetland,14681.519999999999,0.17033617555878244
2008,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2008,12,14768248,Bareland,1329142.32,15.420816070960457
2008,13,818480,Built-up,73663.2,0.854646369546321
2008,15,39421735,Water,3547956.15,41.16367253807929
2008,16,22194,Ice/Snow,1997.46,0.023174691532732685
2008,20,11136836,Forest,1002315.24,11.628942009130059
2009,5,2406309,Shrubland,216567.81,2.5126371455095278
2009,7,4739332,Grassland,426539.88,4.948749985185594
2009,8,22264211,Cropland,2003778.99,23.2480049628131
2009,9,163303,Wetland,14697.269999999999,0.17051890832521607
2009,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2009,12,14736608,Bareland,1326294.72,15.387777986789256
2009,13,832199,Built-up,74897.91,0.8689715742474816
2009,15,39420704,Water,3547863.36,41.16259598103819
2009,16,22194,Ice/Snow,1997.46,0.023174691532732685
2009,20,11181327,Forest,1006319.4299999999,11.675398943480912
2010,5,2412828,Shrubland,217154.52,2.5194442021059897
2010,7,4742646,Grassland,426838.13999999996,4.952210421688228
2010,8,22268765,Cropland,2004188.8499999999,23.252760191489322
2010,9,163644,Wetland,14727.96,0.1708749761729525
2010,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2010,12,14714977,Bareland,1324347.93,15.365191172670823
2010,13,845640,Built-up,76107.59999999999,0.883006494896822
2010,15,39419939,Water,3547794.51,41.161797177802065
2010,16,22194,Ice/Snow,1997.46,0.023174691532732685
2010,20,11175554,Forest,1005799.86,11.669370850563075
2011,5,2406882,Shrubland,216619.38,2.5132354647961934
2011,7,4742979,Grassland,426868.11,4.95255813603807
2011,8,22266335,Cropland,2003970.15,23.250222816503985
2011,9,163669,Wetland,14730.21,0.17090108085387157
2011,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2011,12,14707927,Bareland,1323713.43,15.357829652651638
2011,13,859164,Built-up,77324.76,0.8971280830868138
2011,15,39419452,Water,3547750.6799999997,41.16128865861776
2011,16,22194,Ice/Snow,1997.46,0.023174691532732685
2011,20,11177585,Forest,1005982.6499999999,11.671491594840942
2012,5,2405678,Shrubland,216511.02,2.5119782633631296
2012,7,4744016,Grassland,426961.44,4.953640958202595
2012,8,22273568,Cropland,2004621.1199999999,23.257775422787496
2012,9,163663,Wetland,14729.67,0.170894815730451
2012,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2012,12,14694199,Bareland,1322477.91,15.343495050265346
2012,13,876582,Built-up,78892.37999999999,0.9153157363767632
2012,15,39418698,Water,3547682.82,41.16050134144123
2012,16,22194,Ice/Snow,1997.46,0.023174691532732685
2012,20,11167589,Forest,1005083.01,11.661053899222253
2013,5,2404427,Shrubland,216398.43,2.5106719851299384
2013,7,4745119,Grassland,427060.70999999996,4.954792696724745
2013,8,22254547,Cropland,2002909.23,23.237913937357018
2013,9,163461,Wetland,14711.49,0.17068388990862474
2013,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2013,12,14689292,Bareland,1322036.28,15.338371223494546
2013,13,901922,Built-up,81172.98,0.9417754409563543
2013,15,39418011,Water,3547620.9899999998,41.159783984809586
2013,16,22194,Ice/Snow,1997.46,0.023174691532732685
2013,20,11167214,Forest,1005049.26,11.660662329008467
2014,5,2400679,Shrubland,216061.11,2.506758371366548
2014,7,4747589,Grassland,427283.01,4.957371839199551
2014,8,22227796,Cropland,2000501.64,23.20998088458635
2014,9,163424,Wetland,14708.16,0.17064525498086447
2014,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2014,12,14684505,Bareland,1321605.45,15.33337269919216
2014,13,931862,Built-up,83867.58,0.9730384068250584
2014,15,39417313,Water,3547558.17,41.15905514211832
2014,16,22194,Ice/Snow,1997.46,0.023174691532732685
2014,20,11170826,Forest,1005374.34,11.664433933307656
2015,5,2400230,Shrubland,216020.69999999998,2.5062895312972415
2015,7,4746903,Grassland,427221.26999999996,4.9566555267551315
2015,8,22213097,Cropland,1999178.73,23.194632376393162
2015,9,163348,Wetland,14701.32,0.17056589675087044
2015,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2015,12,14682550,Bareland,1321429.5,15.331331313144286
2015,13,950972,Built-up,85587.48,0.9929928249196119
2015,15,39417107,Water,3547539.63,41.15884003954754
2015,16,22194,Ice/Snow,1997.46,0.023174691532732685
2015,20,11169787,Forest,1005280.83,11.66334902276866
2016,5,2430068,Shrubland,218706.12,2.5374459900677953
2016,7,4721656,Grassland,424949.04,4.930292931588559
2016,8,22160126,Cropland,1994411.3399999999,23.139320734274555
2016,9,163402,Wetland,14706.18,0.1706222828616557
2016,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2016,12,14668172,Bareland,1320135.48,15.316317989054099
2016,13,953226,Built-up,85790.34,0.9953464229512772
2016,15,39417010,Water,3547530.9,41.158738753385585
2016,16,22194,Ice/Snow,1997.46,0.023174691532732685
2016,20,11230334,Forest,1010730.0599999999,11.726571427392988
2017,5,2450675,Shrubland,220560.75,2.558963556455784
2017,7,4700975,Grassland,423087.75,4.90869809534505
2017,8,22133587,Cropland,1992022.8299999998,23.11160904919808
2017,9,163484,Wetland,14713.56,0.1707079062150703
2017,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2017,12,14658531,Bareland,1319267.79,15.30625097990446
2017,13,977954,Built-up,88015.86,1.021167084941969
2017,15,39416893,Water,3547520.3699999996,41.15861658347888
2017,16,22194,Ice/Snow,1997.46,0.023174691532732685
2017,20,11241895,Forest,1011770.5499999999,11.738643276037214
2018,5,2551783,Shrubland,229660.47,2.6645392395904843
2018,7,4638745,Grassland,417487.05,4.843718323601247
2018,8,22107067,Cropland,1989636.03,23.08391720367911
2018,9,163396,Wetland,14705.64,0.1706160177382351
2018,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2018,12,14606202,Bareland,1314558.18,15.251609705991854
2018,13,994854,Built-up,89536.86,1.0388138492432748
2018,15,39416503,Water,3547485.27,41.158209350456545
2018,16,22194,Ice/Snow,1997.46,0.023174691532732685
2018,20,11265444,Forest,1013889.96,11.763232841275762
2019,5,2607912,Shrubland,234712.08,2.7231484250027918
2019,7,4601067,Grassland,414096.02999999997,4.804375436894466
2019,8,22083958,Cropland,1987556.22,23.05978708082474
2019,9,163623,Wetland,14726.07,0.17085304824098047
2019,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2019,12,14580957,Bareland,1312286.13,15.225249199199755
2019,13,1001630,Built-up,90146.7,1.0458892619595854
2019,15,39416072,Water,3547446.48,41.157759305757494
2019,16,22194,Ice/Snow,1997.46,0.023174691532732685
2019,20,11288775,Forest,1015989.75,11.787594773696695
2020,5,2637006,Shrubland,237330.53999999998,2.753528008469194
2020,7,4582481,Grassland,412423.29,4.784968172911977
2020,8,22087262,Cropland,1987853.5799999998,23.063237075455007
2020,9,163758,Wetland,14738.22,0.17099401351794355
2020,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2020,12,14567274,Bareland,1311054.66,15.210961585239119
2020,13,1003064,Built-up,90275.76,1.0473866264571046
2020,15,39415695,Water,3547412.55,41.157365647169236
2020,16,22194,Ice/Snow,1997.46,0.023174691532732685
2020,20,11287454,Forest,1015870.86,11.78621540235693
2021,5,2715579,Shrubland,244402.11,2.835572932223425
2021,7,4551704,Grassland,409653.36,4.752831222326102
2021,8,22064243,Cropland,1985781.8699999999,23.039200929451944
2021,9,164635,Wetland,14817.15,0.17190976572458527
2021,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2021,12,14506291,Bareland,1305566.19,15.147283914979559
2021,13,1023402,Built-up,92106.18,1.0686233064784039
2021,15,39415572,Water,3547401.48,41.157237212139115
2021,16,22194,Ice/Snow,1997.46,0.023174691532732685
2021,20,11302568,Forest,1017231.12,11.801997248253375
2022,5,2765864,Shrubland,248927.75999999998,2.8880798874240856
2022,7,4517496,Grassland,406574.64,4.71711166533089
2022,8,22042216,Cropland,1983799.44,23.01620061718775
2022,9,164723,Wetland,14825.07,0.17200165420142047
2022,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2022,12,14470571,Bareland,1302351.39,15.109985546882362
2022,13,1044796,Built-up,94031.64,1.0909626482217256
2022,15,39415415,Water,3547387.35,41.15707327474294
2022,16,22194,Ice/Snow,1997.46,0.023174691532732685
2022,20,11322913,Forest,1019062.1699999999,11.823241237585332
