From,To,Count,Area_km2,Period
8,5,2147,193.23,2000-2001
8,7,3329,299.61,2000-2001
8,8,22449701,2020473.0899999999,2000-2001
8,9,1,0.09,2000-2001
8,12,1524,137.16,2000-2001
8,13,23189,2087.0099999999998,2000-2001
8,15,26,2.34,2000-2001
8,20,51999,4679.91,2000-2001
9,7,7,0.63,2000-2001
9,8,78,7.02,2000-2001
9,9,161065,14495.85,2000-2001
9,12,1,0.09,2000-2001
9,13,80,7.199999999999999,2000-2001
9,15,1,0.09,2000-2001
9,20,127,11.43,2000-2001
11,11,2078,187.01999999999998,2000-2001
12,5,4163,374.66999999999996,2000-2001
12,7,16609,1494.81,2000-2001
12,8,2067,186.03,2000-2001
12,9,1,0.09,2000-2001
12,12,14867446,1338070.14,2000-2001
12,13,6501,585.09,2000-2001
12,15,15,1.3499999999999999,2000-2001
12,20,87,7.83,2000-2001
13,13,553992,49859.28,2000-2001
15,5,151,13.59,2000-2001
15,7,94,8.459999999999999,2000-2001
15,8,277,24.93,2000-2001
15,9,421,37.89,2000-2001
15,12,257,23.13,2000-2001
15,13,182,16.38,2000-2001
15,15,39431640,3548847.6,2000-2001
15,20,231,20.79,2000-2001
16,16,22194,1997.46,2000-2001
20,5,2724,245.16,2000-2001
20,7,7647,688.23,2000-2001
20,8,30590,2753.1,2000-2001
20,9,144,12.959999999999999,2000-2001
20,12,695,62.55,2000-2001
20,13,1682,151.38,2000-2001
20,15,20,1.7999999999999998,2000-2001
20,20,10884577,979611.9299999999,2000-2001
5,5,2504369,225393.21,2001-2002
5,7,109,9.81,2001-2002
5,8,7215,649.35,2001-2002
5,12,9957,896.13,2001-2002
5,13,759,68.31,2001-2002
5,20,1787,160.82999999999998,2001-2002
7,5,496,44.64,2001-2002
7,7,4694282,422485.38,2001-2002
7,8,2681,241.29,2001-2002
7,12,685,61.65,2001-2002
7,13,1577,141.93,2001-2002
7,20,1182,106.38,2001-2002
8,5,1619,145.71,2001-2002
8,7,1133,101.97,2001-2002
8,8,22429281,2018635.29,2001-2002
8,12,623,56.07,2001-2002
8,13,35543,3198.87,2001-2002
8,15,15,1.3499999999999999,2001-2002
8,20,23312,2098.08,2001-2002
9,8,25,2.25,2001-2002
9,9,161462,14531.58,2001-2002
9,13,105,9.45,2001-2002
9,20,40,3.5999999999999996,2001-2002
11,11,2078,187.01999999999998,2001-2002
12,5,7028,632.52,2001-2002
12,7,11596,1043.6399999999999,2001-2002
12,8,2253,202.76999999999998,2001-2002
12,9,1,0.09,2001-2002
12,12,14878560,1339070.4,2001-2002
12,13,6244,561.9599999999999,2001-2002
12,20,29,2.61,2001-2002
13,13,588029,52922.61,2001-2002
15,5,11,0.99,2001-2002
15,7,17,1.53,2001-2002
15,8,207,18.63,2001-2002
15,9,248,22.32,2001-2002
15,12,414,37.26,2001-2002
15,13,156,14.04,2001-2002
